nota,waktu,pembeli
akbar-1619645020911,2021-04-29 04:23:40.911,akbar
tri-1645614782703,2022-02-23 18:13:02.703,tri
jefri-1631537043768,2021-09-13 19:44:03.768,jefri
iqbal-1631557153349,2021-09-14 01:19:13.349,iqbal
jefri-1629734203372,2021-08-23 22:56:43.372,jefri
akbar-1618432550534,2021-04-15 03:35:50.534,akbar
jefri-1640697876838,2021-12-28 20:24:36.838,jefri
akbar-1624349008938,2021-06-22 15:03:28.938,akbar
iqbal-1624414170385,2021-06-23 09:09:30.385,iqbal
akbar-1642409574634,2022-01-17 15:52:54.634,akbar
tri-1629943973027,2021-08-26 09:12:53.027,tri
akbar-1642914904014,2022-01-23 12:15:04.014,akbar
akbar-1642908407424,2022-01-23 10:26:47.424,akbar
tri-1644743081972,2022-02-13 16:04:41.972,tri
akbar-1641806689042,2022-01-10 16:24:49.042,akbar
iqbal-1638146367705,2021-11-29 07:39:27.705,iqbal
akbar-1638949207180,2021-12-08 14:40:07.18,akbar
iqbal-1622006638473,2021-05-26 12:23:58.473,iqbal
jefri-1621281997350,2021-05-18 03:06:37.35,jefri
tri-1640417798229,2021-12-25 14:36:38.229,tri
jefri-1620061891315,2021-05-04 00:11:31.315,jefri
akbar-1641650694272,2022-01-08 21:04:54.272,akbar
jefri-1640393601426,2021-12-25 07:53:21.426,jefri
akbar-1633122150654,2021-10-02 04:02:30.654,akbar
jefri-1630288824993,2021-08-30 09:00:24.993,jefri
jefri-1632539274786,2021-09-25 10:07:54.786,jefri
iqbal-1629048310876,2021-08-16 00:25:10.876,iqbal
akbar-1632365111274,2021-09-23 09:45:11.274,akbar
iqbal-1646554743784,2022-03-06 15:19:03.784,iqbal
jefri-1629578538751,2021-08-22 03:42:18.751,jefri
iqbal-1647769332754,2022-03-20 16:42:12.754,iqbal
tri-1625148489940,2021-07-01 21:08:09.94,tri
tri-1636101160196,2021-11-05 15:32:40.196,tri
tri-1623106199300,2021-06-08 05:49:59.3,tri
akbar-1632755759501,2021-09-27 22:15:59.501,akbar
jefri-1642842505471,2022-01-22 16:08:25.471,jefri
iqbal-1631313473509,2021-09-11 05:37:53.509,iqbal
jefri-1645750224342,2022-02-25 07:50:24.342,jefri
tri-1635272207881,2021-10-27 01:16:47.881,tri
akbar-1618848438917,2021-04-19 23:07:18.917,akbar
akbar-1619798086741,2021-04-30 22:54:46.741,akbar
akbar-1618379140865,2021-04-14 12:45:40.865,akbar
akbar-1638580777648,2021-12-04 08:19:37.648,akbar
iqbal-1645521433895,2022-02-22 16:17:13.895,iqbal
jefri-1622259179080,2021-05-29 10:32:59.08,jefri
akbar-1619636547600,2021-04-29 02:02:27.6,akbar
akbar-1639228832496,2021-12-11 20:20:32.496,akbar
iqbal-1636205932799,2021-11-06 20:38:52.799,iqbal
tri-1635821476929,2021-11-02 09:51:16.929,tri
akbar-1624511690830,2021-06-24 12:14:50.83,akbar
tri-1621416923868,2021-05-19 16:35:23.868,tri
tri-1649268228035,2022-04-07 01:03:48.035,tri
jefri-1622312844300,2021-05-30 01:27:24.3,jefri
iqbal-1631834675833,2021-09-17 06:24:35.833,iqbal
iqbal-1643865867318,2022-02-03 12:24:27.318,iqbal
iqbal-1635528363373,2021-10-30 00:26:03.373,iqbal
tri-1646935636223,2022-03-11 01:07:16.223,tri
akbar-1639211353054,2021-12-11 15:29:13.054,akbar
tri-1645492920255,2022-02-22 08:22:00.255,tri
tri-1618398977138,2021-04-14 18:16:17.138,tri
jefri-1625617222985,2021-07-07 07:20:22.985,jefri
tri-1636101960518,2021-11-05 15:46:00.518,tri
iqbal-1621598760185,2021-05-21 19:06:00.185,iqbal
tri-1638133406409,2021-11-29 04:03:26.409,tri
tri-1643502646263,2022-01-30 07:30:46.263,tri
akbar-1634127963419,2021-10-13 19:26:03.419,akbar
akbar-1623899312576,2021-06-17 10:08:32.576,akbar
jefri-1637377341464,2021-11-20 10:02:21.464,jefri
akbar-1619441974302,2021-04-26 19:59:34.302,akbar
iqbal-1618954714915,2021-04-21 04:38:34.915,iqbal
iqbal-1639206955903,2021-12-11 14:15:55.903,iqbal
akbar-1632156463431,2021-09-20 23:47:43.431,akbar
jefri-1647781654236,2022-03-20 20:07:34.236,jefri
akbar-1627636506850,2021-07-30 16:15:06.85,akbar
iqbal-1630282193746,2021-08-30 07:09:53.746,iqbal
akbar-1641474707843,2022-01-06 20:11:47.843,akbar
jefri-1648561879157,2022-03-29 20:51:19.157,jefri
tri-1648296198771,2022-03-26 19:03:18.771,tri
akbar-1646193095258,2022-03-02 10:51:35.258,akbar
akbar-1635745635478,2021-11-01 12:47:15.478,akbar
jefri-1643759013576,2022-02-02 06:43:33.576,jefri
tri-1628763763441,2021-08-12 17:22:43.441,tri
akbar-1631809585488,2021-09-16 23:26:25.488,akbar
iqbal-1620920879463,2021-05-13 22:47:59.463,iqbal
jefri-1641066719430,2022-01-02 02:51:59.43,jefri
jefri-1640819379852,2021-12-30 06:09:39.852,jefri
iqbal-1644656931784,2022-02-12 16:08:51.784,iqbal
iqbal-1642876326319,2022-01-23 01:32:06.319,iqbal
akbar-1649356674176,2022-04-08 01:37:54.176,akbar
jefri-1637803294781,2021-11-25 08:21:34.781,jefri
akbar-1642153912675,2022-01-14 16:51:52.675,akbar
akbar-1646501423584,2022-03-06 00:30:23.584,akbar
iqbal-1621431136267,2021-05-19 20:32:16.267,iqbal
iqbal-1625135119373,2021-07-01 17:25:19.373,iqbal
jefri-1640773255379,2021-12-29 17:20:55.379,jefri
akbar-1646017686405,2022-02-28 10:08:06.405,akbar
iqbal-1647540184107,2022-03-18 01:03:04.107,iqbal
iqbal-1643143438688,2022-01-26 03:43:58.688,iqbal
akbar-1638387245557,2021-12-02 02:34:05.557,akbar
akbar-1645400103494,2022-02-21 06:35:03.494,akbar
tri-1633150554309,2021-10-02 11:55:54.309,tri
tri-1628022457471,2021-08-04 03:27:37.471,tri
iqbal-1638837652805,2021-12-07 07:40:52.805,iqbal
tri-1646828497034,2022-03-09 19:21:37.034,tri
tri-1637896430335,2021-11-26 10:13:50.335,tri
akbar-1644646248962,2022-02-12 13:10:48.962,akbar
jefri-1620222171789,2021-05-05 20:42:51.789,jefri
tri-1628242274866,2021-08-06 16:31:14.866,tri
jefri-1632254922693,2021-09-22 03:08:42.693,jefri
jefri-1621732150000,2021-05-23 08:09:10.0,jefri
akbar-1643713659354,2022-02-01 18:07:39.354,akbar
akbar-1633922111230,2021-10-11 10:15:11.23,akbar
akbar-1642859475311,2022-01-22 20:51:15.311,akbar
jefri-1637582265148,2021-11-22 18:57:45.148,jefri
tri-1630350866023,2021-08-31 02:14:26.023,tri
jefri-1619007196103,2021-04-21 19:13:16.103,jefri
akbar-1621788821513,2021-05-23 23:53:41.513,akbar
iqbal-1642447041089,2022-01-18 02:17:21.089,iqbal
jefri-1645071084453,2022-02-17 11:11:24.453,jefri
iqbal-1642236294455,2022-01-15 15:44:54.455,iqbal
iqbal-1622322564720,2021-05-30 04:09:24.72,iqbal
iqbal-1626424505481,2021-07-16 15:35:05.481,iqbal
tri-1619595885224,2021-04-28 14:44:45.224,tri
tri-1639875319516,2021-12-19 07:55:19.516,tri
jefri-1621414867193,2021-05-19 16:01:07.193,jefri
iqbal-1630060776572,2021-08-27 17:39:36.572,iqbal
iqbal-1622123243840,2021-05-27 20:47:23.84,iqbal
jefri-1643856797255,2022-02-03 09:53:17.255,jefri
jefri-1625366099714,2021-07-04 09:34:59.714,jefri
iqbal-1619080903971,2021-04-22 15:41:43.971,iqbal
iqbal-1620727015859,2021-05-11 16:56:55.859,iqbal
iqbal-1644104952962,2022-02-06 06:49:12.962,iqbal
akbar-1623785085757,2021-06-16 02:24:45.757,akbar
akbar-1638615777064,2021-12-04 18:02:57.064,akbar
akbar-1625829379204,2021-07-09 18:16:19.204,akbar
tri-1641158267196,2022-01-03 04:17:47.196,tri
jefri-1630480022843,2021-09-01 14:07:02.843,jefri
jefri-1648928990272,2022-04-03 02:49:50.272,jefri
iqbal-1629574042495,2021-08-22 02:27:22.495,iqbal
jefri-1634396666186,2021-10-16 22:04:26.186,jefri
tri-1634527676279,2021-10-18 10:27:56.279,tri
akbar-1632202292488,2021-09-21 12:31:32.488,akbar
akbar-1638102894086,2021-11-28 19:34:54.086,akbar
akbar-1629247456330,2021-08-18 07:44:16.33,akbar
tri-1629823837032,2021-08-24 23:50:37.032,tri
jefri-1632098225275,2021-09-20 07:37:05.275,jefri
tri-1624611491595,2021-06-25 15:58:11.595,tri
jefri-1634851045240,2021-10-22 04:17:25.24,jefri
iqbal-1625238709471,2021-07-02 22:11:49.471,iqbal
akbar-1643202405149,2022-01-26 20:06:45.149,akbar
iqbal-1626152626926,2021-07-13 12:03:46.926,iqbal
jefri-1633372262142,2021-10-05 01:31:02.142,jefri
tri-1632343819720,2021-09-23 03:50:19.72,tri
akbar-1636006876293,2021-11-04 13:21:16.293,akbar
tri-1628426623022,2021-08-08 19:43:43.022,tri
jefri-1634790503396,2021-10-21 11:28:23.396,jefri
tri-1640643579122,2021-12-28 05:19:39.122,tri
akbar-1623405449909,2021-06-11 16:57:29.909,akbar
akbar-1629052703516,2021-08-16 01:38:23.516,akbar
tri-1632150903328,2021-09-20 22:15:03.328,tri
jefri-1634653549069,2021-10-19 21:25:49.069,jefri
akbar-1625033143675,2021-06-30 13:05:43.675,akbar
jefri-1620046429858,2021-05-03 19:53:49.858,jefri
jefri-1635773839291,2021-11-01 20:37:19.291,jefri
tri-1629458827266,2021-08-20 18:27:07.266,tri
akbar-1631984758571,2021-09-19 00:05:58.571,akbar
iqbal-1628449784459,2021-08-09 02:09:44.459,iqbal
iqbal-1636773816951,2021-11-13 10:23:36.951,iqbal
akbar-1638460094082,2021-12-02 22:48:14.082,akbar
tri-1636379454643,2021-11-08 20:50:54.643,tri
akbar-1625759708539,2021-07-08 22:55:08.539,akbar
akbar-1623952954432,2021-06-18 01:02:34.432,akbar
akbar-1644763095299,2022-02-13 21:38:15.299,akbar
jefri-1636475065311,2021-11-09 23:24:25.311,jefri
akbar-1636152099680,2021-11-06 05:41:39.68,akbar
iqbal-1643109629089,2022-01-25 18:20:29.089,iqbal
akbar-1644014398946,2022-02-05 05:39:58.946,akbar
iqbal-1630454226819,2021-09-01 06:57:06.819,iqbal
iqbal-1623336969535,2021-06-10 21:56:09.535,iqbal
jefri-1621444887085,2021-05-20 00:21:27.085,jefri
akbar-1633194592525,2021-10-03 00:09:52.525,akbar
jefri-1648421887381,2022-03-28 05:58:07.381,jefri
jefri-1624127945764,2021-06-20 01:39:05.764,jefri
iqbal-1619258469802,2021-04-24 17:01:09.802,iqbal
tri-1618678197152,2021-04-17 23:49:57.152,tri
jefri-1638543933175,2021-12-03 22:05:33.175,jefri
iqbal-1632707824840,2021-09-27 08:57:04.84,iqbal
akbar-1621396076893,2021-05-19 10:47:56.893,akbar
jefri-1633688758644,2021-10-08 17:25:58.644,jefri
iqbal-1625881975358,2021-07-10 08:52:55.358,iqbal
akbar-1630978511461,2021-09-07 08:35:11.461,akbar
tri-1648179536752,2022-03-25 10:38:56.752,tri
akbar-1633878853543,2021-10-10 22:14:13.543,akbar
iqbal-1642913459316,2022-01-23 11:50:59.316,iqbal
akbar-1631905784497,2021-09-18 02:09:44.497,akbar
iqbal-1622541230047,2021-06-01 16:53:50.047,iqbal
iqbal-1620278085618,2021-05-06 12:14:45.618,iqbal
akbar-1637045288363,2021-11-16 13:48:08.363,akbar
tri-1630497587328,2021-09-01 18:59:47.328,tri
iqbal-1627636106010,2021-07-30 16:08:26.01,iqbal
tri-1619371514747,2021-04-26 00:25:14.747,tri
jefri-1620247589316,2021-05-06 03:46:29.316,jefri
jefri-1632988439428,2021-09-30 14:53:59.428,jefri
tri-1625419311935,2021-07-05 00:21:51.935,tri
iqbal-1620856592823,2021-05-13 04:56:32.823,iqbal
akbar-1630766570239,2021-09-04 21:42:50.239,akbar
jefri-1630959913853,2021-09-07 03:25:13.853,jefri
iqbal-1632912409035,2021-09-29 17:46:49.035,iqbal
akbar-1649307790997,2022-04-07 12:03:10.997,akbar
akbar-1642898967199,2022-01-23 07:49:27.199,akbar
jefri-1627104528528,2021-07-24 12:28:48.528,jefri
tri-1648189243455,2022-03-25 13:20:43.455,tri
iqbal-1628169396982,2021-08-05 20:16:36.982,iqbal
iqbal-1634138727523,2021-10-13 22:25:27.523,iqbal
jefri-1633135869519,2021-10-02 07:51:09.519,jefri
tri-1638445965737,2021-12-02 18:52:45.737,tri
jefri-1618923984138,2021-04-20 20:06:24.138,jefri
jefri-1620732120325,2021-05-11 18:22:00.325,jefri
akbar-1635443757705,2021-10-29 00:55:57.705,akbar
jefri-1648072902424,2022-03-24 05:01:42.424,jefri
jefri-1637582120608,2021-11-22 18:55:20.608,jefri
tri-1620123375415,2021-05-04 17:16:15.415,tri
iqbal-1623864598349,2021-06-17 00:29:58.349,iqbal
akbar-1618235880196,2021-04-12 20:58:00.196,akbar
iqbal-1630681603026,2021-09-03 22:06:43.026,iqbal
iqbal-1644501882243,2022-02-10 21:04:42.243,iqbal
iqbal-1619476690110,2021-04-27 05:38:10.11,iqbal
akbar-1630783872366,2021-09-05 02:31:12.366,akbar
akbar-1642015522022,2022-01-13 02:25:22.022,akbar
iqbal-1638712070283,2021-12-05 20:47:50.283,iqbal
iqbal-1624722803935,2021-06-26 22:53:23.935,iqbal
jefri-1641073935189,2022-01-02 04:52:15.189,jefri
akbar-1618222733750,2021-04-12 17:18:53.75,akbar
iqbal-1622421125254,2021-05-31 07:32:05.254,iqbal
jefri-1621766437967,2021-05-23 17:40:37.967,jefri
jefri-1635822910438,2021-11-02 10:15:10.438,jefri
jefri-1638923018430,2021-12-08 07:23:38.43,jefri
iqbal-1622068442384,2021-05-27 05:34:02.384,iqbal
akbar-1637520582779,2021-11-22 01:49:42.779,akbar
iqbal-1642913907418,2022-01-23 11:58:27.418,iqbal
iqbal-1618535441441,2021-04-16 08:10:41.441,iqbal
iqbal-1648199222661,2022-03-25 16:07:02.661,iqbal
tri-1634730264916,2021-10-20 18:44:24.916,tri
tri-1628785395201,2021-08-12 23:23:15.201,tri
tri-1636743433608,2021-11-13 01:57:13.608,tri
tri-1639338331324,2021-12-13 02:45:31.324,tri
tri-1637278777829,2021-11-19 06:39:37.829,tri
jefri-1635203407476,2021-10-26 06:10:07.476,jefri
iqbal-1620977281968,2021-05-14 14:28:01.968,iqbal
iqbal-1635528457047,2021-10-30 00:27:37.047,iqbal
tri-1627906746151,2021-08-02 19:19:06.151,tri
iqbal-1632171170667,2021-09-21 03:52:50.667,iqbal
tri-1634938969125,2021-10-23 04:42:49.125,tri
akbar-1644063066130,2022-02-05 19:11:06.13,akbar
jefri-1631439922350,2021-09-12 16:45:22.35,jefri
tri-1637833987351,2021-11-25 16:53:07.351,tri
jefri-1647398380405,2022-03-16 09:39:40.405,jefri
akbar-1618087998795,2021-04-11 03:53:18.795,akbar
iqbal-1638974451495,2021-12-08 21:40:51.495,iqbal
jefri-1630539637853,2021-09-02 06:40:37.853,jefri
akbar-1639185124321,2021-12-11 08:12:04.321,akbar
akbar-1626090506567,2021-07-12 18:48:26.567,akbar
tri-1631723475448,2021-09-15 23:31:15.448,tri
tri-1622109510956,2021-05-27 16:58:30.956,tri
iqbal-1623369077169,2021-06-11 06:51:17.169,iqbal
jefri-1648124722078,2022-03-24 19:25:22.078,jefri
jefri-1640806396638,2021-12-30 02:33:16.638,jefri
tri-1645766149239,2022-02-25 12:15:49.239,tri
iqbal-1643045863002,2022-01-25 00:37:43.002,iqbal
iqbal-1628707095411,2021-08-12 01:38:15.411,iqbal
tri-1648171835591,2022-03-25 08:30:35.591,tri
akbar-1634694510770,2021-10-20 08:48:30.77,akbar
tri-1642419789150,2022-01-17 18:43:09.15,tri
akbar-1630544191567,2021-09-02 07:56:31.567,akbar
akbar-1635296302692,2021-10-27 07:58:22.692,akbar
akbar-1644423942353,2022-02-09 23:25:42.353,akbar
tri-1620521124260,2021-05-09 07:45:24.26,tri
akbar-1620617530385,2021-05-10 10:32:10.385,akbar
akbar-1644917283206,2022-02-15 16:28:03.206,akbar
jefri-1624892850530,2021-06-28 22:07:30.53,jefri
akbar-1634237355128,2021-10-15 01:49:15.128,akbar
jefri-1631469750163,2021-09-13 01:02:30.163,jefri
akbar-1620451494242,2021-05-08 12:24:54.242,akbar
tri-1633148622616,2021-10-02 11:23:42.616,tri
jefri-1646629876803,2022-03-07 12:11:16.803,jefri
iqbal-1637668677844,2021-11-23 18:57:57.844,iqbal
iqbal-1631581496248,2021-09-14 08:04:56.248,iqbal
akbar-1629949614214,2021-08-26 10:46:54.214,akbar
tri-1632272438518,2021-09-22 08:00:38.518,tri
tri-1629649740416,2021-08-22 23:29:00.416,tri
iqbal-1634218839229,2021-10-14 20:40:39.229,iqbal
tri-1628758415734,2021-08-12 15:53:35.734,tri
tri-1628342914589,2021-08-07 20:28:34.589,tri
jefri-1638581217921,2021-12-04 08:26:57.921,jefri
akbar-1631765495845,2021-09-16 11:11:35.845,akbar
akbar-1631418582648,2021-09-12 10:49:42.648,akbar
iqbal-1635696345298,2021-10-31 23:05:45.298,iqbal
jefri-1625519018665,2021-07-06 04:03:38.665,jefri
iqbal-1631148870640,2021-09-09 07:54:30.64,iqbal
akbar-1625360479121,2021-07-04 08:01:19.121,akbar
iqbal-1644774103692,2022-02-14 00:41:43.692,iqbal
akbar-1630967338773,2021-09-07 05:28:58.773,akbar
jefri-1638574937036,2021-12-04 06:42:17.036,jefri
akbar-1644715836413,2022-02-13 08:30:36.413,akbar
tri-1636127797930,2021-11-05 22:56:37.93,tri
iqbal-1640528118174,2021-12-26 21:15:18.174,iqbal
jefri-1626156910961,2021-07-13 13:15:10.961,jefri
tri-1626232954182,2021-07-14 10:22:34.182,tri
